,date,type,hnl
431,2022-08-07,Agencias,100958387.31999995
432,2022-08-08,Salas,708338822.1600002
433,2022-08-08,Agencias,100548726.93999995
434,2022-08-09,Salas,790026303.6400001
435,2022-08-09,Agencias,108918955.87999997
436,2022-08-10,Salas,730207975.9000002
437,2022-08-10,Agencias,119064392.85
438,2022-08-11,Salas,802977066.85
439,2022-08-11,Agencias,110831664.75
440,2022-08-12,Salas,761429161.67
441,2022-08-12,Agencias,131953329.96000001
442,2022-08-13,Salas,765310256.8800005
443,2022-08-13,Agencias,103059116.17000003
444,2022-08-14,Salas,817844427.0100001
445,2022-08-14,Agencias,101430784.74
446,2022-08-15,Salas,817930170.9000001
447,2022-08-15,Agencias,100892877.14999999
448,2022-08-16,Salas,635345999.8500001
449,2022-08-16,Agencias,114554419.26000002
450,2022-08-17,Salas,673350579.5899998
451,2022-08-17,Agencias,107276564.62999998
452,2022-08-18,Salas,724138570.2099996
453,2022-08-18,Agencias,108108402.36999999
454,2022-08-19,Salas,718597983.4599999
455,2022-08-19,Agencias,108901108.87000002
456,2022-08-20,Salas,777408295.4999996
457,2022-08-20,Agencias,99648239.22000003
458,2022-08-21,Salas,777252581.3399997
459,2022-08-21,Agencias,101216089.09000002
460,2022-08-22,Salas,778561724.1999997
461,2022-08-22,Agencias,101370927.65000002
462,2022-08-23,Salas,636675039.8199998
463,2022-08-23,Agencias,102940349.78999999
464,2022-08-24,Salas,699474078.5099999
465,2022-08-24,Agencias,118638399.94000001
466,2022-08-25,Salas,780042487.1200002
467,2022-08-25,Agencias,112567979.04999998
468,2022-08-26,Salas,726815864.46
469,2022-08-26,Agencias,112912258.98
470,2022-08-27,Salas,739815206.1500002
471,2022-08-27,Agencias,93629813.35999998
472,2022-08-28,Salas,757628125.0300002
473,2022-08-28,Agencias,96342309.43
474,2022-08-29,Salas,759585977.3800004
475,2022-08-29,Agencias,96179147.2
476,2022-08-30,Salas,636815117.81
477,2022-08-30,Agencias,110701060.38000001
478,2022-08-31,Salas,719005054.1399999
479,2022-08-31,Agencias,114365895.71000001
480,2022-09-01,Salas,751341756.5500004
481,2022-09-01,Agencias,116485108.84000005
482,2022-09-02,Salas,672046619.2500001
483,2022-09-02,Agencias,113325946.37999998
484,2022-09-03,Salas,679401307.9900001
485,2022-09-03,Agencias,98813318.42999999
486,2022-09-04,Salas,691390069.05
487,2022-09-04,Agencias,95871459.18999998
488,2022-09-05,Salas,689558073.71
489,2022-09-05,Agencias,95190912.08999999
490,2022-09-06,Salas,559684448.0900002
491,2022-09-06,Agencias,102536677.59
492,2022-09-07,Salas,739483371.3499999
493,2022-09-07,Agencias,124914348.72999999
494,2022-09-08,Salas,717023832.4599999
495,2022-09-08,Agencias,110820564.96000002
496,2022-09-09,Salas,746193812.6600001
497,2022-09-09,Agencias,114352476.07000001
498,2022-09-10,Salas,704675314.9199997
499,2022-09-10,Agencias,110671110.71000001
500,2022-09-11,Salas,730358619.0299999
501,2022-09-11,Agencias,113722700.74
502,2022-09-12,Salas,733985773.3399998
503,2022-09-12,Agencias,113824382.03999999
504,2022-09-13,Salas,755478618.6400003
505,2022-09-13,Agencias,124803621.18000004
506,2022-09-14,Salas,866521421.5599998
507,2022-09-14,Agencias,122089612.97
508,2022-09-15,Salas,770053089.5199996
509,2022-09-15,Agencias,111877096.91000001
510,2022-09-16,Salas,770201282.5299996
511,2022-09-16,Agencias,113839008.62999998
512,2022-09-17,Salas,773080957.4400004
513,2022-09-17,Agencias,104887024.58999999
514,2022-09-18,Salas,803527967.2300001
515,2022-09-18,Agencias,103655137.99
516,2022-09-19,Salas,805766801.6900003
517,2022-09-19,Agencias,103913957.64999998
518,2022-09-20,Salas,698501647.3800001
519,2022-09-20,Agencias,106618742.60000004
520,2022-09-21,Salas,753722790.8700001
521,2022-09-21,Agencias,118217218.39000002
522,2022-09-22,Salas,747375244.54
523,2022-09-22,Agencias,117051058.50000003
524,2022-09-23,Salas,716628138.7700001
525,2022-09-23,Agencias,108715975.96000001
526,2022-09-24,Salas,716679320.9500003
527,2022-09-24,Agencias,98024463.23999996
528,2022-09-25,Salas,744064588.6700002
529,2022-09-25,Agencias,97866383.10999998
530,2022-09-26,Salas,743651855.3100001
531,2022-09-26,Agencias,98380025.46
532,2022-09-27,Salas,689105570.8199999
533,2022-09-27,Agencias,111637526.11999997
534,2022-09-28,Salas,732800050.9199996
535,2022-09-28,Agencias,110878156.13
536,2022-09-29,Salas,826476003.2200004
537,2022-09-29,Agencias,117442744.43000002
538,2022-09-30,Salas,754264915.91
539,2022-09-30,Agencias,121811245.10999998
540,2022-10-01,Salas,754054828.5900002
541,2022-10-01,Agencias,96918479.03000002
542,2022-10-02,Salas,738310234.69
543,2022-10-02,Agencias,87346399.01
544,2022-10-03,Salas,737671759.15
545,2022-10-03,Agencias,86904129.29
546,2022-10-04,Salas,589683358.83
547,2022-10-04,Agencias,102793257.72999997
548,2022-10-05,Salas,858677817.4000001
549,2022-10-05,Agencias,105397450.92999998
550,2022-10-06,Salas,880706344.5600002
551,2022-10-06,Agencias,98361324.52
552,2022-10-07,Salas,879767492.53
553,2022-10-07,Agencias,97866993.16999999
554,2022-10-08,Salas,877511821.4900001
555,2022-10-08,Agencias,95768107.19
556,2022-10-09,Salas,884385981.68
557,2022-10-09,Agencias,99919396.12
558,2022-10-10,Salas,923782932.8
559,2022-10-10,Agencias,99118945.2
560,2022-10-11,Salas,915075166.1199998
561,2022-10-11,Agencias,128278406.75999999
562,2022-10-12,Salas,854998720.78
563,2022-10-12,Agencias,142325768.32999998
564,2022-10-13,Salas,849430881.1
565,2022-10-13,Agencias,129933359.33999999
566,2022-10-14,Salas,828442579.5999998
567,2022-10-14,Agencias,121264494.29
568,2022-10-15,Salas,777583798.5
569,2022-10-15,Agencias,104738401.41
570,2022-10-16,Salas,798083869.2799999
571,2022-10-16,Agencias,101978146.80000001
572,2022-10-17,Salas,797637975.03
573,2022-10-17,Agencias,102813031.39999999
574,2022-10-18,Salas,607789799.88
575,2022-10-18,Agencias,113196621.46999998
576,2022-10-19,Salas,741601969.3199998
577,2022-10-19,Agencias,120285477.62
578,2022-10-20,Salas,732786304.0600001
579,2022-10-20,Agencias,124455626.84000002
580,2022-10-21,Salas,743803883.1299999
581,2022-10-21,Agencias,125956192.89000002
582,2022-10-22,Salas,734548963.26
583,2022-10-22,Agencias,115248331.06000002
584,2022-10-23,Salas,783344160.0699999
585,2022-10-23,Agencias,119933594.27999999
586,2022-10-24,Salas,783379854.6499999
587,2022-10-24,Agencias,119474286.31999998
588,2022-10-25,Salas,684672531.8000003
589,2022-10-25,Agencias,109780603.14000002
590,2022-10-26,Salas,749047166.0899997
591,2022-10-26,Agencias,126743842.74
592,2022-10-27,Salas,759989164.6399997
593,2022-10-27,Agencias,118390436.30999999
594,2022-10-28,Salas,760680441.0999995
595,2022-10-28,Agencias,117773260.68
596,2022-10-29,Salas,780372400.4199997
597,2022-10-29,Agencias,101967022.81999996
598,2022-10-30,Salas,773518187.1900004
599,2022-10-30,Agencias,98629580.52000001
600,2022-10-31,Salas,774246423.9000003
601,2022-10-31,Agencias,97244368.24000001
602,2022-11-01,Salas,662980182.55
603,2022-11-01,Agencias,107387885.61000001
604,2022-11-02,Salas,663838386.4899998
605,2022-11-02,Agencias,101192619.28000002
606,2022-11-03,Salas,713041605.1700002
607,2022-11-03,Agencias,100280049.01000004
608,2022-11-04,Salas,677260857.5999998
609,2022-11-04,Agencias,127494488.55
610,2022-11-05,Salas,657246103.0500001
611,2022-11-05,Agencias,106198102.67999999
612,2022-11-06,Salas,681550233.86
613,2022-11-06,Agencias,113533141.18
614,2022-11-07,Salas,686139386.3899999
615,2022-11-07,Agencias,112936955.67
616,2022-11-08,Salas,648662813.7200003
617,2022-11-08,Agencias,118591740.50000001
618,2022-11-09,Salas,730954806.7100003
619,2022-11-09,Agencias,137513353.20000002
620,2022-11-10,Salas,835688879.2799997
621,2022-11-10,Agencias,126976074.99999999
622,2022-11-11,Salas,760487244.0800002
623,2022-11-11,Agencias,140105110.17
624,2022-11-12,Salas,757732440.96
625,2022-11-12,Agencias,134439276.63000003
626,2022-11-13,Salas,816866427.3300004
627,2022-11-13,Agencias,104931466.51999998
628,2022-11-14,Salas,818666951.3100004
629,2022-11-14,Agencias,104737102.63999999
630,2022-11-15,Salas,725508890.0400001
631,2022-11-15,Agencias,127303940.67000002
